Transaction_ID,Customer_ID,Customer_Name,Gender,Transaction_Date,Product_Category,Product_Name,Quantity,Unit_Price,Total_Amount,Payment_Method,Shipping_Address,Internal_Server_IP,Temporary_Session_Token,
TXN1045,CUST-06,Andi Wijaya,Male,2024-02-18,E-L-E-K-T-R-O-N-I-K,Laptop ASUS Vivobook,5,8500000,42500000,E_Wallet,"Jl. Soekarno Hatta No. 45, Malang",192.168.1.45,tok_sess_abc123xyz_045,
TXN-1046,CUST-07,rina rose,Male,2024-02-19,Pakaian,Headphone Bluetooth,5,450000,2250000,credit_card,"Jl. Sudirman No. 46, Jakarta",192.168.1.46,tok_sess_abc123xyz_046,
TXN-1047,CUST-08,Ahmad Hidayat,Perempuan,2024-02-20,E-L-E-K-T-R-O-N-I-K,Headphone Bluetooth,1,450000,450000,credit_card,"Jl. Soekarno Hatta No. 47, Malang",192.168.1.47,tok_sess_abc123xyz_047,
TXN-1048,CUST-09,eka putri,Perempuan,2024-02-21,Elektronik & Gadget,Kaos Polos Cotton,4,75000,300000,E-Wallet,"Jl. Sudirman No. 48, Jakarta",192.168.1.48,tok_sess_abc123xyz_048,
TXN-1049,CUST-10,maya sari,Laki-laki,2024-02-22,FASHION,Kaos Polos Cotton,4,75000,300000,,"Jl. Soekarno Hatta No. 49, Malang",192.168.1.49,tok_sess_abc123xyz_049,
,CUST-01,Budi Santoso,Male,2024-02-23,Elektronik,Kaos Polos Cotton,3,75000,225000,Credit Card,"Jl. Sudirman No. 50, Jakarta",192.168.1.50,tok_sess_abc123xyz_050,
TXN-1051,CUST-02,siti aminah,Perempuan,2024-02-24,Buku,Laptop ASUS Vivobook,3,8500000,25500000,Credit Card,"Jl. Soekarno Hatta No. 51, Malang",192.168.1.51,tok_sess_abc123xyz_051,
TXN-1052,CUST-03,joko widodo,P,2024-02-25,Fashion,Kaos Polos Cotton,5,75000,375000,credit_card,"Jl. Sudirman No. 52, Jakarta",192.168.1.52,tok_sess_abc123xyz_052,
TXN-1053,CUST-04,Dewi Lestari,Laki-laki,2024-02-26,Fashion,Laptop ASUS Vivobook,3,8500000,25500000,Transfer Bank,"Jl. Soekarno Hatta No. 53, Malang",192.168.1.53,tok_sess_abc123xyz_053,
TXN-1054,CUST-05,Rudi Hermawan,Perempuan,2024-02-27,Elektronik & Gadget,Buku Pemrograman Python,1,120000,120000,transfer_bank,"Jl. Sudirman No. 54, Jakarta",192.168.1.54,tok_sess_abc123xyz_054,
TXN-1055,CUST-06,Andi Wijaya,,2024-02-28,Elektronik,Headphone Bluetooth,4,450000,1800000,Credit Card,"Jl. Soekarno Hatta No. 55, Malang",192.168.1.55,tok_sess_abc123xyz_055,
TXN-1056,CUST-07,rina rose,Perempuan,2024-02-01,elektronik,Kemeja Batik,4,150000,600000,credit_card,"Jl. Sudirman No. 56, Jakarta",192.168.1.56,tok_sess_abc123xyz_056,
TXN-1057,CUST-08,Ahmad Hidayat,P,2024-02-02,Elektronik & Gadget,Kemeja Batik,5,150000,750000,credit_card,"Jl. Soekarno Hatta No. 57, Malang",192.168.1.57,tok_sess_abc123xyz_057,
TXN-1058,CUST-09,eka putri,Perempuan,2024-02-03,Buku,Laptop ASUS Vivobook,1,8500000,8500000,Credit Card,"Jl. Sudirman No. 58, Jakarta",192.168.1.58,tok_sess_abc123xyz_058,
TXN-1059,CUST-10,maya sari,Female,2024-02-04,E-L-E-K-T-R-O-N-I-K,Laptop ASUS Vivobook,5,8500000,42500000,COD,"Jl. Soekarno Hatta No. 59, Malang",192.168.1.59,tok_sess_abc123xyz_059,
TXN-1060,CUST-01,Budi Santoso,L,Jan 20,2024,elektronik,Buku Pemrograman Python,1,120000,120000,transfer_bank,"Jl. Sudirman No. 60, Jakarta",192.168.1.60,tok_sess_abc123xyz_060
TXN-1061,CUST-02,siti aminah,Male,2024-02-06,Fashion,Kaos Polos Cotton,3,75000,225000,Gopay,"Jl. Soekarno Hatta No. 61, Malang",192.168.1.61,tok_sess_abc123xyz_061,
TXN-1062,CUST-03,joko widodo,P,2024-02-07,Buku,Kemeja Batik,4,Rp 150.000,600000,credit_card,"Jl. Sudirman No. 62, Jakarta",192.168.1.62,tok_sess_abc123xyz_062,
TXN-1063,CUST-04,Dewi Lestari,Laki-laki,2024-02-08,Elektronik,Kemeja Batik,3,150000,450000,transfer_bank,"Jl. Soekarno Hatta No. 63, Malang",192.168.1.63,tok_sess_abc123xyz_063,
TXN-1064,CUST-05,Rudi Hermawan,Female,2024-02-09,elektronik,Kemeja Batik,2,150000,300000,transfer_bank,"Jl. Sudirman No. 64, Jakarta",192.168.1.64,tok_sess_abc123xyz_064,
TXN-1065,CUST-06,Andi Wijaya,P,2024-02-10,Pakaian,Kaos Polos Cotton,1,75000,75000,COD,"Jl. Soekarno Hatta No. 65, Malang",192.168.1.65,tok_sess_abc123xyz_065,
TXN-1066,CUST-07,  rina rose ,Perempuan,2024-02-11,Fashion,Kaos Polos Cotton,5,75000,375000,Credit Card,"Jl. Sudirman No. 66, Jakarta",192.168.1.66,tok_sess_abc123xyz_066,
TXN-1067,,Ahmad Hidayat,L,2024-02-12,Fashion,Kemeja Batik,5,150000,750000,Credit Card,"Jl. Soekarno Hatta No. 67, Malang",192.168.1.67,tok_sess_abc123xyz_067,
TXN-1068,CUST-09,eka putri,F,2024-02-13,Elektronik,Kaos Polos Cotton,3,75000,225000,COD,"Jl. Sudirman No. 68, Jakarta",192.168.1.68,tok_sess_abc123xyz_068,
TXN-1069,CUST-10,maya sari,Perempuan,2024-02-14,elektronik,Smartphone Samsung Galaxy,4,3500000,14000000,Gopay,"Jl. Soekarno Hatta No. 69, Malang",192.168.1.69,tok_sess_abc123xyz_069,
TXN-1070,CUST-01,Budi Santoso,F,2024-02-15,elektronik,Laptop ASUS Vivobook,1,8500000,8500000,Gopay,"Jl. Sudirman No. 70, Jakarta",192.168.1.70,tok_sess_abc123xyz_070,
TXN-1071,CUST-02,siti aminah,L,2024-02-16,elektronik,Buku Pemrograman Python,1,120000,120000,Credit Card,"Jl. Soekarno Hatta No. 71, Malang",192.168.1.71,tok_sess_abc123xyz_071,
TXN-1072,CUST-03,joko widodo,P,2024-02-17,Elektronik & Gadget,Buku Pemrograman Python,2,120000,240000,Credit Card,"Jl. Sudirman No. 72, Jakarta",192.168.1.72,tok_sess_abc123xyz_072,
TXN-1073,CUST-04,Dewi Lestari,P,2024-02-18,Elektronik,Kemeja Batik,4,150000,600000,Credit Card,"Jl. Soekarno Hatta No. 73, Malang",192.168.1.73,tok_sess_abc123xyz_073,
TXN-1074,CUST-05,"Ahmad Hidayat, S.Kom.",Female,2024-02-19,FASHION,Headphone Bluetooth,5,450000,2250000,Gopay,"Jl. Sudirman No. 74, Jakarta",192.168.1.74,tok_sess_abc123xyz_074,
TXN-1075,CUST-06,Andi Wijaya,Male,2028-12-31,elektronik,Kaos Polos Cotton,3,75000,225000,transfer_bank,"Jl. Soekarno Hatta No. 75, Malang",192.168.1.75,tok_sess_abc123xyz_075,
TXN-1076,CUST-07,rina rose,L,2024-02-21,Elektronik,Kemeja Batik,5,150000,750000,Credit Card,"Jl. Sudirman No. 76, Jakarta",192.168.1.76,tok_sess_abc123xyz_076,
TXN-1077,CUST-08,Ahmad Hidayat,Female,2024-02-22,Buku,Kaos Polos Cotton,2,75000,150000,transfer_bank,"Jl. Soekarno Hatta No. 77, Malang",192.168.1.77,tok_sess_abc123xyz_077,
TXN-1078,CUST-09,eka putri,F,2024-02-23,Fashion,Headphone Bluetooth,1,450000,450000,credit_card,"Jl. Sudirman No. 78, Jakarta",192.168.1.78,tok_sess_abc123xyz_078,
TXN-1079,CUST-10,maya sari,Perempuan,2024-02-24,Buku,Headphone Bluetooth,4,450000,1800000,Gopay,"Jl. Soekarno Hatta No. 79, Malang",192.168.1.79,tok_sess_abc123xyz_079,
TXN-1080,CUST-01,budi santoso,F,2024-02-25,Elektronik,Smartphone Samsung Galaxy,2,3500000,7000000,Transfer Bank,"Jl. Sudirman No. 80, Jakarta",192.168.1.80,tok_sess_abc123xyz_080,
TXN-1081,CUST-02,Siti Aminah,Female,2024-02-26,Elektronik & Gadget,Kaos Polos Cotton,3,75000,225000,COD,,192.168.1.81,tok_sess_abc123xyz_081,
TXN-1082,CUST-03,joko widodo,Female,2024-02-27,E-L-E-K-T-R-O-N-I-K,Headphone Bluetooth,9999,450000,4499550000,COD,"Jl. Sudirman No. 82, Jakarta",192.168.1.82,tok_sess_abc123xyz_082,
TXN-1083,CUST-04,Dewi Lestari,Laki-laki,2024-02-28,Pakaian,Kaos Polos Cotton,1,75000,75000,transfer_bank,"Jl. Soekarno Hatta No. 83, Malang",192.168.1.83,tok_sess_abc123xyz_083,
TXN-1084,CUST-05,Rudi Hermawan,Laki-laki,2024-02-01,FASHION,Headphone Bluetooth,3,450000,1350000,COD,"Jl. Sudirman No. 84, Jakarta",192.168.1.84,tok_sess_abc123xyz_084,
TXN-1085,CUST-06,Andi Wijaya,Female,2024-02-02,Elektronik,Kaos Polos Cotton,3,75000,225000,transfer_bank,"Jl. Soekarno Hatta No. 85, Malang",192.168.1.85,tok_sess_abc123xyz_085,
TXN-1086,CUST-07,rina rose,P,2024-02-03,Buku,Headphone Bluetooth,5,450000,2250000,Credit Card,"Jl. Sudirman No. 86, Jakarta",192.168.1.86,tok_sess_abc123xyz_086,
TXN-1087,CUST-08,Ahmad Hidayat,Perempuan,2024-02-04,elektronik,Laptop ASUS Vivobook,5,8500000,42500000,Credit Card,"Jl. Soekarno Hatta No. 87, Malang",192.168.1.87,tok_sess_abc123xyz_087,
TXN-1088,,eka putri,Female,2024-02-05,Pakaian,Buku Pemrograman Python,1,120000,120000,Credit Card,"Jl. Sudirman No. 88, Jakarta",192.168.1.88,tok_sess_abc123xyz_088,
TXN-1089,CUST-10,maya sari,Perempuan,2024-02-06,Fashion,Smartphone Samsung Galaxy,4,3500000,14000000,E_Wallet,"Jl. Soekarno Hatta No. 89, Malang",192.168.1.89,tok_sess_abc123xyz_089,
TXN-1090,CUST-01,Budi Santoso,Perempuan,,Pakaian,Laptop ASUS Vivobook,2,8500000,17000000,E-Wallet,"Jl. Sudirman No. 90, Jakarta",192.168.1.90,tok_sess_abc123xyz_090,
TXN-1091,CUST-02,siti aminah,Perempuan,2024-02-08,Elektronik,Kemeja Batik,4,150000,600000,Gopay,"Jl. Soekarno Hatta No. 91, Malang",192.168.1.91,tok_sess_abc123xyz_091,
TXN-1092,CUST-03,joko widodo,P,2024-02-09,elektronik,Headphone Bluetooth,5,450000,2250000,Credit Card,"Jl. Sudirman No. 92, Jakarta",192.168.1.92,tok_sess_abc123xyz_092,
TXN-1093,CUST-04,Dewi Lestari,Female,2024-02-10,elektronik,Smartphone Samsung Galaxy,1,3500000,3500000,transfer_bank,"Jl. Soekarno Hatta No. 93, Malang",192.168.1.93,tok_sess_abc123xyz_093,
TXN-1094,CUST-05,Rudi Hermawan,L,2024-02-11,Fashion,Laptop ASUS Vivobook,3,8500000,25500000,E-Wallet,"Jl. Sudirman No. 94, Jakarta",192.168.1.94,tok_sess_abc123xyz_094,
TXN-1095,CUST-06,Andi Wijaya,L,2024-02-12,Fashion,Kemeja Batik,5,,ERR,Credit Card,"Jl. Soekarno Hatta No. 95, Malang",192.168.1.95,tok_sess_abc123xyz_095,
TXN-1096,CUST-07,rina rose,Perempuan,2024-02-13,elektronik,Smartphone Samsung Galaxy,5,3500000,17500000,COD,"Jl. Sudirman No. 96, Jakarta",192.168.1.96,tok_sess_abc123xyz_096,
TXN-1097,CUST-08,Ahmad Hidayat,Perempuan,2024-02-14,Elektronik,Kaos Polos Cotton,4,75000,300000,Transfer Bank,"Jl. Soekarno Hatta No. 97, Malang",192.168.1.97,tok_sess_abc123xyz_097,
TXN-1098,CUST-09,eka putri,Male,2024-02-15,Buku,Laptop ASUS Vivobook,2,8500000,17000000,Gopay,"Jl. Sudirman No. 98, Jakarta",192.168.1.98,tok_sess_abc123xyz_098,
TXN-1099,CUST-10,maya sari,Perempuan,2024-02-16,elektronik,Smartphone Samsung Galaxy,3,3500000,10500000,Gopay,"Jl. Soekarno Hatta No. 99, Malang",192.168.1.99,tok_sess_abc123xyz_099,
TXN-1100,CUST-01,Budi Santoso,Male,2024-02-17,Elektronik,Smartphone Samsung Galaxy,1,3500000,3500000,credit_card,"Jl. Sudirman No. 100, Jakarta",192.168.1.100,tok_sess_abc123xyz_100,
